X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2194226.541,2379781.365,Collision with vehicle,Passengers,GLENELG,SOUTH WESTERN REGION
2468714.229,2562903.207,Collision with a fixed object,Drivers,BENDIGO,NORTHERN REGION
2436712.162,2432763.776,Collision with vehicle,Drivers,MOORABOOL,WESTERN REGION
2505012.076,2407880.324,Struck Pedestrian,Pedestrians,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2541462.771,2571703.086,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2508628.283,2400562.208,Struck Pedestrian,Pedestrians,MONASH,METROPOLITAN SOUTH EAST REGION
2496677.384,2420669.517,Collision with vehicle,Drivers,MORELAND,METROPOLITAN NORTH WEST REGION
2601862.586,2365506.24,Collision with vehicle,Drivers,BAW BAW,EASTERN REGION
2520132.159,2405867.597,Collision with vehicle,Pedestrians,KNOX,METROPOLITAN SOUTH EAST REGION
2454543.308,2367391.656,Collision with a fixed object,Drivers,GEELONG,SOUTH WESTERN REGION
2473907.266,2455758.767,Struck animal,Drivers,MACEDON RANGES,NORTHERN REGION
2488163.22,2414479.572,Collision with a fixed object,Pillion Passengers,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION
2647130.424,2386393.095,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2485656.485,2483012.558,Collision with a fixed object,Drivers,MITCHELL,NORTHERN REGION
2396495.023,2435442.029,Collision with a fixed object,Motorcyclists,BALLARAT,WESTERN REGION
2445398.173,2368899.865,Struck Pedestrian,Pedestrians,GEELONG,SOUTH WESTERN REGION
2569777.351,2379754.152,Collision with a fixed object,Drivers,BAW BAW,EASTERN REGION
2514246.88,2558848.682,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2521177.55,2388747.91,Collision with a fixed object,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2317208.023,2324614.997,Collision with a fixed object,Drivers,CORANGAMITE,SOUTH WESTERN REGION
2646463.944,2314524.947,Collision with some other object,Drivers,WELLINGTON,EASTERN REGION
2366831.682,2570712.782,Collision with a fixed object,Drivers,LODDON,NORTHERN REGION
2495478.623,2410610.322,Struck Pedestrian,Pedestrians,MELBOURNE,METROPOLITAN NORTH WEST REGION
2305393.729,2379867.687,Collision with vehicle,Drivers,MOYNE,SOUTH WESTERN REGION
2512384.007,2398288.414,Collision with a fixed object,Drivers,MONASH,METROPOLITAN SOUTH EAST REGION
2443814.193,2368731.225,Collision with a fixed object,Drivers,GEELONG,SOUTH WESTERN REGION
2435344.958,2351483.689,Collision with vehicle,Passengers,SURF COAST,SOUTH WESTERN REGION
2442383.354,2374268.596,Collision with a fixed object,Drivers,GEELONG,SOUTH WESTERN REGION
2430659.052,2438411.163,Collision with a fixed object,Drivers,MOORABOOL,WESTERN REGION
2514264.779,2412413.097,Collision with vehicle,Passengers,MANNINGHAM,METROPOLITAN SOUTH EAST REGION
2524334.043,2379679.28,Collision with vehicle,Passengers,CASEY,METROPOLITAN SOUTH EAST REGION
2501688.341,2399978.779,Struck Pedestrian,Pedestrians,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2442036.624,2368951.151,Collision with vehicle,Drivers,GEELONG,SOUTH WESTERN REGION
2480518.766,2417384.335,Collision with vehicle,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2526048.579,2414483.864,Struck Pedestrian,Pedestrians,MAROONDAH,METROPOLITAN SOUTH EAST REGION
2496798.176,2419272.678,Struck Pedestrian,Pedestrians,MORELAND,METROPOLITAN NORTH WEST REGION
2225877.091,2456059.926,Collision with a fixed object,Drivers,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2439345.152,2535412.55,Struck Pedestrian,Pedestrians,BENDIGO,NORTHERN REGION
2382135.682,2356290.649,Collision with vehicle,Drivers,COLAC OTWAY,SOUTH WESTERN REGION
2318313.993,2535640.561,Collision with vehicle,Drivers,NORTHERN GRAMPIANS,WESTERN REGION
2278833.568,2525200.29,Collision with vehicle,Drivers,YARRIAMBIACK,WESTERN REGION
2652456.856,2574469.624,Collision with vehicle,Drivers,INDIGO,NORTH EASTERN REGION
2652456.856,2574469.624,Collision with vehicle,Drivers,INDIGO,NORTH EASTERN REGION
2154388.267,2555554.309,Collision with a fixed object,Drivers,WEST WIMMERA,WESTERN REGION
2382891.651,2401902.236,Collision with vehicle,Drivers,GOLDEN PLAINS,SOUTH WESTERN REGION
2725969.09,2403522.331,Collision with vehicle,Drivers,EAST GIPPSLAND,EASTERN REGION
2601550.569,2478938.353,Collision with a fixed object,Drivers,MANSFIELD,NORTH EASTERN REGION
2507586.788,2397401.303,Collision with vehicle,Motorcyclists,KINGSTON,METROPOLITAN SOUTH EAST REGION
2529953.624,2619173.488,Collision with vehicle,Drivers,MOIRA,NORTH EASTERN REGION
2494693.485,2426114.773,Collision with vehicle,Motorcyclists,HUME,METROPOLITAN NORTH WEST REGION
2524797.08,2391432.885,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2384745.223,2676156.734,Collision with a fixed object,Drivers,SWAN HILL,NORTHERN REGION
2507485.879,2398963.736,Collision with vehicle,Motorcyclists,MONASH,METROPOLITAN SOUTH EAST REGION
2487271.163,2419334.033,Collision with a fixed object,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2191005.75,2356722.811,Collision with vehicle,Drivers,GLENELG,SOUTH WESTERN REGION
2470502.068,2556949.342,Collision with a fixed object,Drivers,CAMPASPE,NORTHERN REGION
2470268.216,2401176.604,Struck Pedestrian,Pedestrians,WYNDHAM,METROPOLITAN NORTH WEST REGION
2503287.84,2396426.274,Collision with vehicle,Motorcyclists,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2709412.859,2363422.521,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2241901.623,2525031.563,Collision with vehicle,Drivers,HORSHAM,WESTERN REGION
2508584.843,2408497.734,Collision with vehicle,Passengers,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2508584.843,2408497.734,Collision with vehicle,Drivers,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2522606.548,2413614.874,Collision with vehicle,Motorcyclists,MAROONDAH,METROPOLITAN SOUTH EAST REGION
2484999.85,2414361.001,Struck Pedestrian,Pedestrians,BRIMBANK,METROPOLITAN NORTH WEST REGION
2288968.765,2499377.127,Collision with vehicle,Drivers,NORTHERN GRAMPIANS,WESTERN REGION
2538225.063,2576502.808,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2448488.507,2459432.551,Collision with a fixed object,Drivers,HEPBURN,NORTHERN REGION
2522987.436,2470497.212,Collision with vehicle,Motorcyclists,MURRINDINDI,NORTH EASTERN REGION
2482774.702,2417332.474,Struck Pedestrian,Pedestrians,BRIMBANK,METROPOLITAN NORTH WEST REGION
2517614.992,2379668.457,Collision with a fixed object,Drivers,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2503715.304,2417293.703,Struck Pedestrian,Pedestrians,BANYULE,METROPOLITAN NORTH WEST REGION
2660953.174,2600401.919,Struck Pedestrian,Pedestrians,WODONGA,NORTH EASTERN REGION
2537312.134,2569999.723,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2509039.913,2385879.234,Collision with vehicle,Drivers,KINGSTON,METROPOLITAN SOUTH EAST REGION
2562698.333,2375776.336,Vehicle overturned (no collision),Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2290407.989,2475751.772,Collision with a fixed object,Drivers,ARARAT,WESTERN REGION
2455745.565,2423776.717,Collision with vehicle,Drivers,MOORABOOL,WESTERN REGION
2526968.525,2574853.336,Struck animal,Pedestrians,SHEPPARTON,NORTH EASTERN REGION
2508440.784,2403876.69,Collision with vehicle,Drivers,MONASH,METROPOLITAN SOUTH EAST REGION
2674324.774,2592695.923,Collision with vehicle,Drivers,WODONGA,NORTH EASTERN REGION
2382129.023,2522166.349,Collision with vehicle,Drivers,LODDON,NORTHERN REGION
2415634.454,2335263.044,Collision with vehicle,Motorcyclists,SURF COAST,SOUTH WESTERN REGION
2408341.835,2454242.107,Collision with a fixed object,Drivers,HEPBURN,WESTERN REGION
2478025.845,2409612.094,Collision with vehicle,Motorcyclists,WYNDHAM,METROPOLITAN NORTH WEST REGION
2497821.79,2416156.603,Struck Pedestrian,Pedestrians,MORELAND,METROPOLITAN NORTH WEST REGION
2388914.361,2441049.749,Collision with a fixed object,Drivers,BALLARAT,WESTERN REGION
2546716.436,2374022.606,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2484097.37,2412002.063,Collision with a fixed object,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2373800.371,2503103.767,Collision with a fixed object,Drivers,PYRENEES,WESTERN REGION
2568291.154,2379669.782,Collision with vehicle,Drivers,BAW BAW,EASTERN REGION
2478422.011,2401438.462,Struck Pedestrian,Pedestrians,WYNDHAM,METROPOLITAN NORTH WEST REGION
2250034.39,2528860.221,Collision with a fixed object,Drivers,HORSHAM,WESTERN REGION
2445144.396,2381004.173,Struck Pedestrian,Pedestrians,GEELONG,SOUTH WESTERN REGION
2514644.535,2399663.753,Collision with a fixed object,Drivers,MONASH,METROPOLITAN SOUTH EAST REGION
2526203.467,2381427.376,Collision with vehicle,Passengers,CASEY,METROPOLITAN SOUTH EAST REGION
2514610.044,2358687.282,Collision with vehicle,Motorcyclists,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2233977.379,2804054.761,Collision with vehicle,Drivers,MILDURA,WESTERN REGION
2425781.144,2529426.921,Collision with a fixed object,Drivers,BENDIGO,NORTHERN REGION
2437318.629,2468745.548,Collision with a fixed object,Passengers,HEPBURN,WESTERN REGION
2437318.629,2468745.548,Collision with a fixed object,Drivers,HEPBURN,WESTERN REGION
2626457.848,2361915.252,Collision with a fixed object,Passengers,LATROBE,EASTERN REGION
2503930.431,2400064.476,Collision with vehicle,Motorcyclists,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2502164.276,2355293.568,Collision with vehicle,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2443964.991,2372231.416,Collision with vehicle,Bicyclists,GEELONG,SOUTH WESTERN REGION
2531332.82,2403181.806,Collision with a fixed object,Drivers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2660073.529,2331748.397,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2512092.571,2414400.601,Collision with a fixed object,Drivers,MANNINGHAM,METROPOLITAN SOUTH EAST REGION
2502174.193,2403156.254,Struck Pedestrian,Pedestrians,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2493413.364,2416673.922,Collision with a fixed object,Passengers,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION
2572468.981,2339036.135,Collision with vehicle,Drivers,SOUTH GIPPSLAND,EASTERN REGION
2428582.898,2437488.175,Collision with vehicle,Drivers,MOORABOOL,WESTERN REGION
2537798.311,2396854.976,Collision with a fixed object,Passengers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2480554.438,2417641.85,Struck Pedestrian,Pedestrians,BRIMBANK,METROPOLITAN NORTH WEST REGION
2521634.029,2398219.881,Fall from or in moving vehicle,Bicyclists,KNOX,METROPOLITAN SOUTH EAST REGION
2520492.88,2403251.749,Collision with a fixed object,Drivers,KNOX,METROPOLITAN SOUTH EAST REGION
2492507.108,2407657.45,Collision with vehicle,Motorcyclists,MELBOURNE,METROPOLITAN NORTH WEST REGION
2475199.986,2370455.596,Struck Pedestrian,Pedestrians,GEELONG,SOUTH WESTERN REGION
2515569.831,2409738.831,Struck Pedestrian,Pedestrians,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2578994.552,2588580.785,Vehicle overturned (no collision),Passengers,MOIRA,NORTH EASTERN REGION
2515677.669,2410731.94,Collision with vehicle,Motorcyclists,MANNINGHAM,METROPOLITAN SOUTH EAST REGION
2673031.704,2400790.886,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2493239.854,2419321.701,Collision with a fixed object,Drivers,MORELAND,METROPOLITAN NORTH WEST REGION
2462425.364,2427385.333,Collision with a fixed object,Drivers,MELTON,METROPOLITAN NORTH WEST REGION
2628883.925,2535740.021,Collision with a fixed object,Passengers,WANGARATTA,NORTH EASTERN REGION
2628883.925,2535740.021,Collision with a fixed object,Drivers,WANGARATTA,NORTH EASTERN REGION
2501512.431,2408199.359,Collision with vehicle,Motorcyclists,YARRA,METROPOLITAN NORTH WEST REGION
2471305.944,2400890.166,Collision with vehicle,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2511904.931,2425015.961,Collision with a fixed object,Motorcyclists,NILLUMBIK,METROPOLITAN NORTH WEST REGION
2634685.978,2604224.711,Collision with vehicle,Motorcyclists,INDIGO,NORTH EASTERN REGION
2525440.852,2482471.808,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2254280.431,2528301.253,Collision with a fixed object,Passengers,HORSHAM,WESTERN REGION
2510432.201,2406960.468,No collision and no object struck,Bicyclists,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2467507.875,2550337.299,Collision with vehicle,Passengers,CAMPASPE,NORTHERN REGION
2498117.643,2350840.266,Collision with a fixed object,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2522476.049,2333856.063,Collision with vehicle,Passengers,BASS COAST,EASTERN REGION
2502805.838,2449565.29,Struck animal,Motorcyclists,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2392106.963,2466013.402,Collision with a fixed object,Drivers,HEPBURN,WESTERN REGION
2445577.213,2383222.498,Collision with vehicle,Drivers,GEELONG,SOUTH WESTERN REGION
2521523.097,2365047.545,Collision with a fixed object,Passengers,CASEY,METROPOLITAN SOUTH EAST REGION
2470028.576,2376131.342,Collision with vehicle,Motorcyclists,GEELONG,SOUTH WESTERN REGION
2340317.357,2589559.048,Vehicle overturned (no collision),Drivers,BULOKE,NORTHERN REGION
2344212.188,2721201.631,Collision with a fixed object,Drivers,SWAN HILL,NORTHERN REGION
2601211.56,2461093.396,Collision with vehicle,Motorcyclists,MANSFIELD,NORTH EASTERN REGION
2601211.56,2461093.396,Collision with vehicle,Motorcyclists,MANSFIELD,NORTH EASTERN REGION
2628635.421,2357924.997,Collision with vehicle,Drivers,LATROBE,EASTERN REGION
2379859.528,2423783.47,Collision with vehicle,Passengers,GOLDEN PLAINS,SOUTH WESTERN REGION
2499594.836,2398949.033,Fall from or in moving vehicle,Passengers,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2443050.186,2393688.633,Collision with a fixed object,Drivers,GEELONG,SOUTH WESTERN REGION
2339489.649,2744755.407,Collision with vehicle,Drivers,SWAN HILL,NORTHERN REGION
2519163.954,2406068.378,Collision with vehicle,Motorcyclists,KNOX,METROPOLITAN SOUTH EAST REGION
2478465.621,2532010.861,Collision with a fixed object,Passengers,CAMPASPE,NORTHERN REGION
2534208.938,2401023.677,Collision with a fixed object,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2444488.818,2556720.543,Collision with vehicle,Passengers,BENDIGO,NORTHERN REGION
2618545.04,2570419.527,Struck Pedestrian,Pedestrians,WANGARATTA,NORTH EASTERN REGION
2612535.793,2366921.612,Collision with vehicle,Drivers,LATROBE,EASTERN REGION
2501046.176,2392404.81,Collision with vehicle,Motorcyclists,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2576735.941,2329811.155,Collision with vehicle,Passengers,SOUTH GIPPSLAND,EASTERN REGION
2470759.289,2402742.37,Collision with vehicle,Motorcyclists,WYNDHAM,METROPOLITAN NORTH WEST REGION
2519965.702,2564985.659,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2382373.018,2426623.091,Collision with a fixed object,Drivers,GOLDEN PLAINS,SOUTH WESTERN REGION
2350858.599,2700073.47,Other accident,Pedestrians,SWAN HILL,NORTHERN REGION
2242098.099,2367932.574,Collision with a fixed object,Drivers,MOYNE,SOUTH WESTERN REGION
2461145.102,2588792.594,Collision with a fixed object,Drivers,CAMPASPE,NORTHERN REGION
2652605.605,2341378.658,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2586525.549,2540268.681,Collision with a fixed object,Drivers,BENALLA,NORTH EASTERN REGION
2458884.077,2447034.518,Collision with some other object,Drivers,MACEDON RANGES,NORTHERN REGION
2516927.277,2395548.66,Collision with vehicle,Motorcyclists,DANDENONG,METROPOLITAN SOUTH EAST REGION
2473154.471,2422574.344,Collision with a fixed object,Drivers,MELTON,METROPOLITAN NORTH WEST REGION
2514365.781,2400782.362,Collision with a fixed object,Drivers,MONASH,METROPOLITAN SOUTH EAST REGION
2559535.975,2616269.881,Vehicle overturned (no collision),Drivers,MOIRA,NORTH EASTERN REGION
2509108.839,2395165.468,Collision with a fixed object,Passengers,KINGSTON,METROPOLITAN SOUTH EAST REGION
2285564.212,2491164.49,Collision with a fixed object,Motorcyclists,NORTHERN GRAMPIANS,WESTERN REGION
2523414.045,2393582.507,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2590547.299,2580525.665,Collision with a fixed object,Drivers,MOIRA,NORTH EASTERN REGION
2843965.964,2479758.905,Collision with a fixed object,Drivers,EAST GIPPSLAND,EASTERN REGION
2411091.066,2455211.409,Collision with vehicle,Drivers,HEPBURN,WESTERN REGION
2451890.329,2435275.525,Collision with vehicle,Drivers,MOORABOOL,WESTERN REGION
2552925.954,2528719.009,Collision with vehicle,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2496063.403,2411272.721,Struck Pedestrian,Pedestrians,MELBOURNE,METROPOLITAN NORTH WEST REGION
2473800.925,2397756.166,Collision with a fixed object,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2368379.846,2473249.936,Collision with a fixed object,Drivers,PYRENEES,WESTERN REGION
2491174.987,2409590.181,Collision with vehicle,Bicyclists,MARIBYRNONG,METROPOLITAN NORTH WEST REGION
2615199.076,2274524.408,Vehicle overturned (no collision),Passengers,SOUTH GIPPSLAND,EASTERN REGION
2239288.411,2533657.353,Vehicle overturned (no collision),Drivers,HORSHAM,WESTERN REGION
2482115.968,2423103.334,Collision with vehicle,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2460636.473,2423184.631,Struck Pedestrian,Pedestrians,MELTON,METROPOLITAN NORTH WEST REGION
2477437.125,2403218.535,Collision with vehicle,Drivers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2483686.096,2421818.678,Collision with vehicle,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2459708.617,2362687.862,Collision with vehicle,Drivers,GEELONG,SOUTH WESTERN REGION
2465121.983,2423258.289,Collision with a fixed object,Motorcyclists,MELTON,METROPOLITAN NORTH WEST REGION
2615077.743,2524565.046,Fall from or in moving vehicle,Passengers,WANGARATTA,NORTH EASTERN REGION
2528312.354,2386246.886,Collision with a fixed object,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2170106.098,2444550.767,Collision with a fixed object,Drivers,GLENELG,SOUTH WESTERN REGION
2356694.684,2448978.449,Collision with vehicle,Drivers,PYRENEES,WESTERN REGION
2589686.45,2558634.54,Collision with vehicle,Bicyclists,BENALLA,NORTH EASTERN REGION
2453866.526,2423549.13,Collision with a fixed object,Passengers,MOORABOOL,WESTERN REGION
2529087.56,2331136.715,Collision with a fixed object,Drivers,BASS COAST,EASTERN REGION
2201831.361,2468275.008,Collision with a fixed object,Motorcyclists,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2296717.533,2600655.016,Collision with a fixed object,Drivers,BULOKE,NORTHERN REGION
2210925.395,2428114.184,Collision with vehicle,Drivers,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2462803.838,2548740.24,Collision with a fixed object,Drivers,BENDIGO,NORTHERN REGION
2495814.638,2444252.452,Collision with a fixed object,Drivers,MITCHELL,NORTHERN REGION
2452499.698,2357299.389,No collision and no object struck,Bicyclists,GEELONG,SOUTH WESTERN REGION
2425752.035,2393815.026,Collision with a fixed object,Drivers,GOLDEN PLAINS,SOUTH WESTERN REGION
2487943.404,2413560.56,Collision with vehicle,Drivers,MARIBYRNONG,METROPOLITAN NORTH WEST REGION
2512795.77,2372523.335,Collision with vehicle,Drivers,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2519150.275,2388907.856,Collision with vehicle,Pedestrians,DANDENONG,METROPOLITAN SOUTH EAST REGION
2357138.729,2578391.395,Collision with vehicle,Drivers,BULOKE,NORTHERN REGION
2546294.14,2417478.666,Collision with a fixed object,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2546294.14,2417478.666,Collision with a fixed object,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2374190.005,2304676.925,Vehicle overturned (no collision),Passengers,COLAC OTWAY,SOUTH WESTERN REGION
2562264.667,2465241.384,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2612746.11,2562964.894,Collision with a fixed object,Drivers,WANGARATTA,NORTH EASTERN REGION
2427527.178,2385575.627,Collision with vehicle,Passengers,GOLDEN PLAINS,SOUTH WESTERN REGION
2427527.178,2385575.627,Collision with vehicle,Drivers,GOLDEN PLAINS,SOUTH WESTERN REGION
2622307.357,2575577.889,Collision with a fixed object,Drivers,WANGARATTA,NORTH EASTERN REGION
2546245.473,2381773.089,Collision with vehicle,Bicyclists,CARDINIA,METROPOLITAN SOUTH EAST REGION
2554425.098,2381242.403,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2698417.874,2566426.279,Collision with a fixed object,Drivers,TOWONG,NORTH EASTERN REGION
2497676.198,2403920.238,Struck Pedestrian,Pedestrians,PORT PHILLIP,METROPOLITAN NORTH WEST REGION
2865021.351,2428770.531,Collision with vehicle,Passengers,EAST GIPPSLAND,EASTERN REGION
2530331.086,2384188.419,Collision with vehicle,Pedestrians,CASEY,METROPOLITAN SOUTH EAST REGION
2455162.557,2542359.138,Collision with vehicle,Drivers,BENDIGO,NORTHERN REGION
2561483.559,2478077.36,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2537346.83,2568616.726,Struck Pedestrian,Pedestrians,SHEPPARTON,NORTH EASTERN REGION
2524822.11,2346539.938,Collision with vehicle,Motorcyclists,(FRENCH ISLAND),EASTERN REGION
2484937.796,2417191.277,Collision with vehicle,Motorcyclists,BRIMBANK,METROPOLITAN NORTH WEST REGION
2543809.083,2385939.803,Fall from or in moving vehicle,Motorcyclists,CARDINIA,METROPOLITAN SOUTH EAST REGION
2397241.485,2435815.017,Collision with a fixed object,Drivers,BALLARAT,WESTERN REGION
2648040.222,2358124.108,Collision with a fixed object,Drivers,WELLINGTON,EASTERN REGION
2497991.868,2402616.234,Collision with vehicle,Bicyclists,PORT PHILLIP,METROPOLITAN NORTH WEST REGION
2530696.751,2415914.471,Collision with vehicle,Motorcyclists,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2238197.689,2803803.676,Collision with vehicle,Motorcyclists,MILDURA,WESTERN REGION
2391070.666,2504572.007,Collision with a fixed object,Drivers,CENTRAL GOLDFIELDS,WESTERN REGION
2510518.442,2405341.666,Struck Pedestrian,Pedestrians,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2431378.334,2433252.499,No collision and no object struck,Drivers,MOORABOOL,WESTERN REGION
2484653.037,2417603.144,Collision with a fixed object,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2510336.796,2421120.77,Collision with a fixed object,Drivers,BANYULE,METROPOLITAN NORTH WEST REGION
2542935.501,2397238.666,Collision with a fixed object,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2584166.973,2399983.331,Vehicle overturned (no collision),Drivers,BAW BAW,EASTERN REGION
2198055.655,2347994.424,Collision with a fixed object,Drivers,GLENELG,SOUTH WESTERN REGION
2495187.067,2412050.848,Collision with some other object,Bicyclists,MELBOURNE,METROPOLITAN NORTH WEST REGION
2636164.389,2370413.935,Collision with a fixed object,Drivers,LATROBE,EASTERN REGION
2407056.067,2439448.667,Collision with vehicle,Motorcyclists,MOORABOOL,WESTERN REGION
2504224.534,2415306.287,Collision with vehicle,Motorcyclists,BANYULE,METROPOLITAN NORTH WEST REGION
2520854.035,2368218.799,Collision with a fixed object,Motorcyclists,CASEY,METROPOLITAN SOUTH EAST REGION
2442192.568,2370333.684,Collision with vehicle,Drivers,GEELONG,SOUTH WESTERN REGION
2513018.574,2347208.466,Collision with a fixed object,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2600388.341,2555384.807,Collision with vehicle,Passengers,BENALLA,NORTH EASTERN REGION
2600388.341,2555384.807,Collision with vehicle,Drivers,BENALLA,NORTH EASTERN REGION
2515824.744,2386890.215,Collision with vehicle,Drivers,DANDENONG,METROPOLITAN SOUTH EAST REGION
2500187.345,2395737.952,Struck Pedestrian,Pedestrians,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2572799.357,2543394.279,Collision with a fixed object,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2514228.749,2367979.506,Collision with vehicle,Motorcyclists,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2527035.255,2574798.979,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2671387.538,2376043.027,Struck Pedestrian,Pedestrians,WELLINGTON,EASTERN REGION
2528110.659,2563697.116,Collision with vehicle,Passengers,SHEPPARTON,NORTH EASTERN REGION
2528110.659,2563697.116,Collision with vehicle,Passengers,SHEPPARTON,NORTH EASTERN REGION
2528110.659,2563697.116,Collision with vehicle,Passengers,SHEPPARTON,NORTH EASTERN REGION
2559519.094,2614093.138,Collision with vehicle,Drivers,MOIRA,NORTH EASTERN REGION
2543150.603,2438995.857,Collision with a fixed object,Motorcyclists,MURRINDINDI,NORTH EASTERN REGION
2529484.183,2385638.178,Struck Pedestrian,Pedestrians,CASEY,METROPOLITAN SOUTH EAST REGION
2501037.346,2414820.381,Collision with vehicle,Drivers,DAREBIN,METROPOLITAN NORTH WEST REGION
2599827.815,2392114.45,Collision with a fixed object,Drivers,BAW BAW,EASTERN REGION
2489851.668,2410889.74,Struck Pedestrian,Pedestrians,MARIBYRNONG,METROPOLITAN NORTH WEST REGION
2518311.608,2389974.189,Collision with a fixed object,Motorcyclists,DANDENONG,METROPOLITAN SOUTH EAST REGION
2500755.012,2409238.511,Struck Pedestrian,Pedestrians,YARRA,METROPOLITAN NORTH WEST REGION
2499079.797,2400369.37,Collision with vehicle,Bicyclists,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2496349.69,2423218.923,Collision with vehicle,Drivers,HUME,METROPOLITAN NORTH WEST REGION
2500956.633,2399165.561,Collision with vehicle,Motorcyclists,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2589244.395,2507874.636,Collision with vehicle,Drivers,MANSFIELD,NORTH EASTERN REGION
2501104.192,2423639.315,Collision with vehicle,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2543406.11,2398807.941,Collision with vehicle,Passengers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2511905.329,2372738.143,Collision with a fixed object,Passengers,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2503066.453,2408401.806,Struck Pedestrian,Pedestrians,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2504375.039,2416495.01,Struck Pedestrian,Pedestrians,BANYULE,METROPOLITAN NORTH WEST REGION
2466697.021,2590636,Collision with a fixed object,Drivers,CAMPASPE,NORTHERN REGION
2541441.862,2336501.757,Collision with vehicle,Drivers,BASS COAST,EASTERN REGION
