X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2528428.345,2542965.043,Collision with vehicle,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2533495.425,2413498.528,Collision with vehicle,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2715530.047,2400131.218,Collision with vehicle,Motorcyclists,EAST GIPPSLAND,EASTERN REGION
2304566.052,2486213.714,Collision with vehicle,Drivers,NORTHERN GRAMPIANS,WESTERN REGION
2474515.208,2432261.591,Collision with vehicle,Bicyclists,HUME,METROPOLITAN NORTH WEST REGION
2477775.83,2350116.612,Collision with vehicle,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2239817.525,2536066.252,Collision with a fixed object,Passengers,HORSHAM,WESTERN REGION
2473985.265,2431219.717,Collision with vehicle,Drivers,MELTON,METROPOLITAN NORTH WEST REGION
2264315.384,2516980.225,Collision with vehicle,Drivers,HORSHAM,WESTERN REGION
2525115.476,2403897.352,Struck Pedestrian,Pedestrians,KNOX,METROPOLITAN SOUTH EAST REGION
2519586.183,2391930.132,Collision with vehicle,Motorcyclists,DANDENONG,METROPOLITAN SOUTH EAST REGION
2524734.409,2469466.823,Collision with a fixed object,Motorcyclists,MURRINDINDI,NORTH EASTERN REGION
2628462.266,2365525.058,Collision with vehicle,Passengers,LATROBE,EASTERN REGION
2628621.268,2582904.475,Collision with a fixed object,Passengers,WANGARATTA,NORTH EASTERN REGION
2475097.033,2400516.619,Collision with vehicle,Passengers,WYNDHAM,METROPOLITAN NORTH WEST REGION
2494767.526,2436078.547,Collision with a fixed object,Drivers,HUME,METROPOLITAN NORTH WEST REGION
2528964.2,2401591.735,Collision with vehicle,Drivers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2480700.723,2422583.522,Collision with vehicle,Drivers,BRIMBANK,METROPOLITAN NORTH WEST REGION
2510367.654,2396391.654,Struck Pedestrian,Pedestrians,KINGSTON,METROPOLITAN SOUTH EAST REGION
2531888.424,2588536.405,Collision with a fixed object,Motorcyclists,SHEPPARTON,NORTH EASTERN REGION
2557802.541,2596290.536,Collision with vehicle,Drivers,MOIRA,NORTH EASTERN REGION
2518028.66,2388685.043,Struck Pedestrian,Pedestrians,DANDENONG,METROPOLITAN SOUTH EAST REGION
2515994.248,2381943.797,Collision with a fixed object,Motorcyclists,DANDENONG,METROPOLITAN SOUTH EAST REGION
2543140.525,2610944.663,Collision with vehicle,Drivers,MOIRA,NORTH EASTERN REGION
2548666.841,2530378.807,Collision with a fixed object,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2596252.024,2308761.725,Collision with a fixed object,Drivers,SOUTH GIPPSLAND,EASTERN REGION
2626992.51,2560314.08,Collision with vehicle,Bicyclists,WANGARATTA,NORTH EASTERN REGION
2244878.868,2534786.753,Collision with vehicle,Drivers,HORSHAM,WESTERN REGION
2508990.552,2388173.411,Collision with vehicle,Drivers,KINGSTON,METROPOLITAN SOUTH EAST REGION
2443778.667,2488552.94,Struck Pedestrian,Pedestrians,MOUNT ALEXANDER,NORTHERN REGION
2409277.677,2428810.876,Collision with a fixed object,Drivers,MOORABOOL,WESTERN REGION
2439758.786,2361472.765,Collision with vehicle,Drivers,SURF COAST,SOUTH WESTERN REGION
2516053.531,2393855.226,Collision with vehicle,Bicyclists,DANDENONG,METROPOLITAN SOUTH EAST REGION
2505290.464,2404226.428,Collision with vehicle,Motorcyclists,STONNINGTON,METROPOLITAN SOUTH EAST REGION
2509317.399,2587569.923,Collision with vehicle,Passengers,CAMPASPE,NORTHERN REGION
2503130.337,2406304.5,Collision with vehicle,Motorcyclists,STONNINGTON,METROPOLITAN SOUTH EAST REGION
2420355.881,2495548.751,Collision with a fixed object,Drivers,MOUNT ALEXANDER,NORTHERN REGION
2533351.786,2476660.583,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2559205.944,2374394.678,Collision with vehicle,Passengers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2547784.409,2584291.483,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2494858.574,2428727.132,Collision with vehicle,Passengers,HUME,METROPOLITAN NORTH WEST REGION
2535365.593,2570865.033,Struck Pedestrian,Bicyclists,SHEPPARTON,NORTH EASTERN REGION
2239590.878,2802479.15,Collision with vehicle,Passengers,MILDURA,WESTERN REGION
2239590.878,2802479.15,Collision with vehicle,Drivers,MILDURA,WESTERN REGION
2461167.06,2548606.55,Collision with vehicle,Passengers,BENDIGO,NORTHERN REGION
2461167.06,2548606.55,Collision with vehicle,Drivers,BENDIGO,NORTHERN REGION
2515820.937,2379053.663,Collision with vehicle,Drivers,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2227360.371,2804744.001,Collision with vehicle,Drivers,MILDURA,WESTERN REGION
2426964.334,2361686.247,Collision with a fixed object,Drivers,SURF COAST,SOUTH WESTERN REGION
2499800.976,2402531.156,Collision with vehicle,Motorcyclists,GLEN EIRA,METROPOLITAN SOUTH EAST REGION
2476680.853,2473039.288,Collision with vehicle,Drivers,MACEDON RANGES,NORTHERN REGION
2379329.178,2668654.987,Collision with vehicle,Drivers,SWAN HILL,NORTHERN REGION
2629380.1,2364747.607,Collision with a fixed object,Drivers,LATROBE,EASTERN REGION
2495653.006,2406239.129,Collision with vehicle,Motorcyclists,PORT PHILLIP,METROPOLITAN NORTH WEST REGION
2583011.941,2329880.516,Collision with a fixed object,Passengers,SOUTH GIPPSLAND,EASTERN REGION
2570626.06,2542505.111,Collision with a fixed object,Passengers,STRATHBOGIE,NORTH EASTERN REGION
